"idx","p","n","Ni","acc","wacc","|K|a","|K|f","|S|a","|S|f","iacc"
280,18,1500,80,0,0,0,0.451163419416439,NA,0.15941251644986,NA
281,18,1500,81,0,0,0,0.459020969687724,NA,0.169744043134008,NA
282,18,1500,82,0,0,0,0.445977635030426,NA,0.135674119771505,NA
283,18,1500,83,0,0,0,0.456062544373678,NA,0.148624136727711,NA
284,18,1500,84,0,0,0,0.446892464018748,NA,0.161259431998352,NA
285,18,1500,85,0,0,0,0.451154017990457,NA,0.154888402247105,NA
286,18,1500,86,0,0,0,0.449519481387507,NA,0.138567454717965,NA
287,18,1500,87,0,0,0,0.465580537539485,NA,0.20617159579753,NA
288,18,1500,88,0,0,0,0.451395811649456,NA,0.155022548146812,NA
289,18,1500,89,0,0,0,0.449629113588456,NA,0.151694965396491,NA
290,18,1500,90,0,0,0,0.449502050005307,NA,0.135241540200035,NA
291,18,1500,91,0,0,0,0.450053510647729,NA,0.13173697547972,NA
292,18,1500,92,0,0,0,0.45737451572416,NA,0.157199737866666,NA
293,18,1500,93,0,0,0,0.458461292705161,NA,0.182682998282323,NA
294,18,1500,94,0,0,0,0.459149665435334,NA,0.185419675729885,NA
295,18,1500,95,0,0,0,0.449705261576397,NA,0.151844591828409,NA
296,18,1500,96,0,0,0,0.451885690635891,NA,0.170793981510414,NA
297,18,1500,97,0,0,0,0.44924540384139,NA,0.168829836158993,NA
298,18,1500,98,0,0,0,0.450410615095621,NA,0.143952427390296,NA
299,18,1500,99,0,0,0,0.458190105749782,NA,0.179865360405118,NA
300,18,1500,100,0,0,0,0.44966269000428,NA,0.140527078061315,NA
301,18,1750,1,0,0,0,0.453604775692351,NA,0.146443179776085,NA
302,18,1750,2,0,0,0,0.454030550405681,NA,0.149377724624157,NA
303,18,1750,3,0,0,0,0.449453496250936,NA,0.14325748784255,NA
304,18,1750,4,0,0,0,0.464169994461769,NA,0.196732985383942,NA
305,18,1750,5,0,0,0,0.447157062930096,NA,0.162180829903887,NA
306,18,1750,6,0,0,0,0.452299357287412,NA,0.143284646277428,NA
307,18,1750,7,0,0,0,0.451600818970795,NA,0.179910363734209,NA
308,18,1750,8,0,0,0,0.451383825515134,NA,0.151098073802839,NA
309,18,1750,9,0,0,0,0.450289849318156,NA,0.151853192666533,NA
310,18,1750,10,0,0,0,0.444715092434104,NA,0.132306631789205,NA
311,18,1750,11,0,0,0,0.456169097641136,NA,0.163972780698515,NA
312,18,1750,12,0,0,0,0.449610403851061,NA,0.148281396609782,NA
313,18,1750,13,0,0,0,0.457581077423859,NA,0.180367923510166,NA
314,18,1750,14,0,0,0,0.452452324231276,NA,0.150391252885782,NA
315,18,1750,15,0,0,0,0.451530802319253,NA,0.138836951130405,NA
316,18,1750,16,0,0,0,0.451256269152312,NA,0.15726399330016,NA
317,18,1750,17,0,0,0,0.446184293132729,NA,0.139261240279399,NA
318,18,1750,18,0,0,0,0.445629941026901,NA,0.127378705350379,NA
319,18,1750,19,0,0,0,0.44747298041552,NA,0.129701597964574,NA
320,18,1750,20,0,0,0,0.445407375226631,NA,0.123115399354236,NA
321,18,1750,21,0,0,0,0.450833377161416,NA,0.142066580885856,NA
322,18,1750,22,0,0,0,0.447471322625834,NA,0.130738887135477,NA
323,18,1750,23,0,0,0,0.44359885720404,NA,0.148702316983852,NA
324,18,1750,24,0,0,0,0.455372701836308,NA,0.153586479811818,NA
325,18,1750,25,0,0,0,0.454370002424968,NA,0.156347389886745,NA
326,18,1750,26,0,0,0,0.447196288319085,NA,0.150404689631432,NA
327,18,1750,27,0,0,0,0.462655908140112,NA,0.17290274333438,NA
328,18,1750,28,0,0,0,0.446064662591947,NA,0.124966389420065,NA
329,18,1750,29,0,0,0,0.46383000299374,NA,0.186422178769243,NA
330,18,1750,30,0,0,0,0.446179975805371,NA,0.133113305088596,NA
331,18,1750,31,0,0,0,0.450804771757073,NA,0.144507666238944,NA
332,18,1750,32,0,0,0,0.449747877319605,NA,0.140711122050837,NA
333,18,1750,33,0,0,0,0.472415227174136,NA,0.201722239438168,NA
334,18,1750,34,0,0,0,0.448786537410543,NA,0.146253869250213,NA
335,18,1750,35,0,0,0,0.453314499004125,NA,0.155338416417983,NA
336,18,1750,36,0,0,0,0.448411099208662,NA,0.148332878133589,NA
337,18,1750,37,0,0,0,0.449330232722231,NA,0.139195541251766,NA
338,18,1750,38,0,0,0,0.45971507427269,NA,0.179039005279671,NA
339,18,1750,39,0,0,0,0.455892140077214,NA,0.177653646798227,NA
340,18,1750,40,0,0,0,0.44779266618976,NA,0.147531718279116,NA
341,18,1750,41,0,0,0,0.449798857768715,NA,0.159801690628934,NA
342,18,1750,42,0,0,0,0.44184904780777,NA,0.133316529139609,NA
343,18,1750,43,0,0,0,0.444567062785959,NA,0.140691747689494,NA
344,18,1750,44,0,0,0,0.45183409829799,NA,0.165439341487853,NA
345,18,1750,45,0,0,0,0.445540003475075,NA,0.137205918866484,NA
346,18,1750,46,0,0,0,0.449938144624686,NA,0.144001257269116,NA
347,18,1750,47,0,0,0,0.453137288206714,NA,0.158080025824134,NA
348,18,1750,48,0,0,0,0.450947259339035,NA,0.15244287346743,NA
349,18,1750,49,0,0,0,0.446636014962157,NA,0.147296890028473,NA
350,18,1750,50,0,0,0,0.452822199681828,NA,0.146247650385774,NA
351,18,1750,51,0,0,0,0.452444537658145,NA,0.154424000344571,NA
352,18,1750,52,0,0,0,0.454025097427149,NA,0.1610130816605,NA
353,18,1750,53,0,0,0,0.447810232947574,NA,0.148839847370142,NA
354,18,1750,54,0,0,0,0.446994179975456,NA,0.147826925931089,NA
355,18,1750,55,0,0,0,0.447056787287953,NA,0.134914639507662,NA
356,18,1750,56,0,0,0,0.447248985558128,NA,0.135347825817938,NA
357,18,1750,57,0,0,0,0.448217093401294,NA,0.147871714735824,NA
358,18,1750,58,0,0,0,0.444760575598665,NA,0.137395106818122,NA
359,18,1750,59,0,0,0,0.450488714250856,NA,0.151623749227733,NA
360,18,1750,60,0,0,0,0.446834168868039,NA,0.139046692455702,NA
